"Sample Name"	"Protocol REF"	"Protocol REF"	"Protocol REF"	"Labeled Sample Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Assay Name"	"Protocol REF"	"Parameter Value[cellular component]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[emission wavelength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[microscopy instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[optical path]"	"Parameter Value[detector voltage]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Image File"	"Raw Data File"	"Protocol REF"	"Parameter Value[software]"	"Term Source REF"	"Term Accession Number"	"Data Transformation Name"	"Derived Data File"	"Factor Value[compound]"	"Term Source REF"	"Term Accession Number"	"Factor Value[dose]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[timepoint]"	"Unit"	"Term Source REF"	"Term Accession Number"
"<SKBR3>-<GF1>-plate1-A01"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A01"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A01"	"data collection"	"phosphorylated Akt"	"PRO"	""	"488"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A01-488nm-site1.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA2"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"1"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A01"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A01"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A01"	"data collection"	"phosphorylated Erk"	"PRO"	""	"647"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A01-647nm-site1.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA3"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"1"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A01"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A01"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A01"	"data collection"	"phosphorylated Akt"	"PRO"	""	"488"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A01-488nm-site2.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA5"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"1"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A01"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A01"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A01"	"data collection"	"phosphorylated Erk"	"PRO"	""	"647"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A01-647nm-site2.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA6"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"1"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A01"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A01"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A01"	"data collection"	"phosphorylated Akt"	"PRO"	""	"488"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A01-488nm-site3.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA8"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"1"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A01"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A01"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A01"	"data collection"	"phosphorylated Erk"	"PRO"	""	"647"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A01-647nm-site3.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA9"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"1"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A01"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A01"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A01"	"data collection"	"phosphorylated Akt"	"PRO"	""	"488"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A01-488nm-site4.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA11"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"1"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A01"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A01"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A01"	"data collection"	"phosphorylated Erk"	"PRO"	""	"647"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A01-647nm-site4.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA12"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"1"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A02"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A02"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A02"	"data collection"	"phosphorylated Akt"	"PRO"	""	"488"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A02-488nm-site1.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA14"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"100"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A02"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A02"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A02"	"data collection"	"phosphorylated Erk"	"PRO"	""	"647"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A02-647nm-site1.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA15"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"100"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
