Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[cell line]	Term Source REF	Term Accession Number	Characteristics[morphology]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[plate identifier]	Term Source REF	Term Accession Number	Parameter Value[well coordinate]	Term Source REF	Term Accession Number	Parameter Value[actual dose]	Unit	Term Source REF	Term Accession Number	Sample Name	Factor Value[compound]	Term Source REF	Term Accession Number	Factor Value[discretized dose]	Term Source REF	Term Accession Number	Factor Value[dose]	Unit	Term Source REF	Term Accession Number	Factor Value[timepoint]	Unit	Term Source REF	Term Accession Number
#comment line to indicate start of a new plate														#Comments									"#These terms are for illustrative purposes. The idea is for us to develop our own ontology or vocabulary. As will all other factors, there is a column for the source followed by the id number in the source for the term."												
<184B5>-<GF1>-plate1-A01	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138	fibroblast like			sample collection	<184B5>-<GF1>-plate1			A01			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-A01	VEGF-165 - Vascular endothelial growth factor A	LINCS_DB		low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-A02	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			A02			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-A02	VEGF-165 - Vascular endothelial growth factor A	LINCS_DB		high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-A03	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			A03			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-A03	VEGF-165 - Vascular endothelial growth factor A	LINCS_DB		low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-A04	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			A04			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-A04	VEGF-165 - Vascular endothelial growth factor A	LINCS_DB		high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-A05	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			A05			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-A05	VEGF-165 - Vascular endothelial growth factor A	LINCS_DB		low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-A06	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			A06			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-A06	VEGF-165 - Vascular endothelial growth factor A	LINCS_DB		high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-A07	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			A07			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-A07	NGFbeta - Nerve Growth Factor 			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-A08	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			A08			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-A08	NGFbeta - Nerve Growth Factor 			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-A09	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			A09			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-A09	NGFbeta - Nerve Growth Factor 			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-A10	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			A10			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-A10	NGFbeta - Nerve Growth Factor 			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-A11	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			A11			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-A11	NGFbeta - Nerve Growth Factor 			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-A12	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			A12			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-A12	NGFbeta - Nerve Growth Factor 			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-B01	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			B01			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-B01	EGF - Epidermal Growth Factor			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-B02	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			B02			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-B02	EGF - Epidermal Growth Factor			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-B03	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			B03			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-B03	EGF - Epidermal Growth Factor			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-B04	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			B04			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-B04	EGF - Epidermal Growth Factor			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-B05	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			B05			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-B05	EGF - Epidermal Growth Factor			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-B06	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			B06			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-B06	EGF - Epidermal Growth Factor			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-B07	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			B07			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-B07	INS - Insulin			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-B08	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			B08			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-B08	INS - Insulin			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
